Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,EnvironmentVariables,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean [us],Error [us]
LogisticFunctionSteepDouble,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"18,001.1",NA
LogisticApproximantSteepDouble,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"10,487.2",NA
LogisticSigmoidDouble,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"26,653.2",NA
SoftSignDouble,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"14,377.3",NA
PolynomialApproximantDouble,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"14,576.7",NA
QuadraticSigmoidDouble,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"29,458.2",NA
ReLuDouble,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"6,606.8",NA
LeakyReLuDouble,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"12,828.5",NA
LeakyReLuShiftedDouble,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"13,352.2",NA
SreLuDouble,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"15,095.5",NA
SreLuShiftedDouble,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"16,806.3",NA
ArcTanDouble,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"26,115.2",NA
TanHDouble,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"26,636.7",NA
ArcSinHDouble,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"38,669.3",NA
ScaledEluDouble,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"22,033.7",NA
MaxMinusOneDouble,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"7,353.2",NA
LogisticFunctionSteepFloat,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"12,022.7",NA
LogisticApproximantSteepFloat,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"12,003.7",NA
LogisticSigmoidFloat,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"17,677.5",NA
SoftSignFloat,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"11,982.0",NA
PolynomialApproximantFloat,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"10,247.0",NA
QuadraticSigmoidFloat,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"34,450.9",NA
SreLuFloat,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"15,583.3",NA
SreLuShiftedFloat,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"16,731.3",NA
ReLuFloat,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"6,036.0",NA
LeakyReLuFloat,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"13,498.0",NA
LeakyReLuShiftedFloat,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"13,032.6",NA
ArcTanFloat,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"43,161.4",NA
TanHFloat,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"36,846.3",NA
ArcSinHFloat,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"23,708.0",NA
ScaledEluFloat,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"10,659.3",NA
MaxMinusOneFloat,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"6,841.6",NA
BinaryStepFloat,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"4,014.5",NA
BinaryStepDouble,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"4,026.2",NA
ParametericReLuFloat,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"13,353.3",NA
ParametericReLuDouble,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"13,809.7",NA
BentIdentityFloat,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"64,870.4",NA
BentIdentityDouble,Default,False,Default,Default,Default,Default,Default,True,4095,LegacyJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"64,131.1",NA
LogisticFunctionSteepDouble,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"18,003.5",NA
LogisticApproximantSteepDouble,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"10,391.1",NA
LogisticSigmoidDouble,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"27,224.5",NA
SoftSignDouble,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"10,313.4",NA
PolynomialApproximantDouble,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"16,836.9",NA
QuadraticSigmoidDouble,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"17,142.0",NA
ReLuDouble,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"10,105.7",NA
LeakyReLuDouble,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"8,621.0",NA
LeakyReLuShiftedDouble,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"6,536.3",NA
SreLuDouble,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"4,606.2",NA
SreLuShiftedDouble,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"6,039.3",NA
ArcTanDouble,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"25,247.3",NA
TanHDouble,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"26,881.1",NA
ArcSinHDouble,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"38,686.5",NA
ScaledEluDouble,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"12,071.7",NA
MaxMinusOneDouble,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"6,923.1",NA
LogisticFunctionSteepFloat,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"6,885.0",NA
LogisticApproximantSteepFloat,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"6,939.2",NA
LogisticSigmoidFloat,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"6,333.5",NA
SoftSignFloat,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"4,036.5",NA
PolynomialApproximantFloat,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"4,009.7",NA
QuadraticSigmoidFloat,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"16,544.1",NA
SreLuFloat,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"5,213.7",NA
SreLuShiftedFloat,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"5,243.6",NA
ReLuFloat,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"4,193.3",NA
LeakyReLuFloat,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"6,872.3",NA
LeakyReLuShiftedFloat,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"6,734.0",NA
ArcTanFloat,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"30,893.6",NA
TanHFloat,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"36,843.1",NA
ArcSinHFloat,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"24,170.3",NA
ScaledEluFloat,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"5,834.9",NA
MaxMinusOneFloat,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"4,124.1",NA
BinaryStepFloat,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"4,017.8",NA
BinaryStepDouble,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"4,009.7",NA
ParametericReLuFloat,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"6,912.0",NA
ParametericReLuDouble,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"7,036.5",NA
BentIdentityFloat,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"58,345.1",NA
BentIdentityDouble,Default,False,Default,Default,Default,Default,Default,True,4095,RyuJit,X64,Clr,True,True,False,True,False,True,Default,Default,Default,Default,Default,Default,1,Default,1,Throughput,1,16,1,"57,620.6",NA
